Nom abrégé;Tél. int.;C. P.;Ville;Téléphone;Fax;Vte s/souche;Date mise en vente;Date fermeture;Fam.;Raison sociale;Région                        ;Email;Représentant
-VICENTE MARTINES JUAN;;16239;CASASIMARRO;;;Non;;;;TRANSPORTS VICENTE MARTINEZ JUAN SA;;;
-VINICOLE DE TOURAINE;;41700;COUR CHEVERNY;;;Non;;;;VINICOLE DE TOURAINE;;;
-VINIFRANCE;;30340;MONS;;;Non;;;;SA VINIFRANCE;;;
-VINIRAIL;;44980;SAINTE LUCE SUR LOIRE;02.40.25.95.41;02.40.25.92.42;Non;;;;TMF;;mthomy@ermewa.fr;
-VIOLALIQUIDS GMBH;;77855;ACHERN;078416868118-0;;Non;;;;VIOLALIQUIDS GMBH;;;
-VIVES;;11000;CARCASSONNE;06.80.45.60.74;;Non;;;;TRANSPORTS VIVES;;;
-WEMMERS TANKTRANSPORTS;;2971;BLESKENSGRAAF;;;Non;;;;WEMMERS TANKTRANSPORT;;;
.NOUS BIRON;;34200;SETE;04.66.74.88.80;04.67.48.39.55;Non;;;;.NOUS S/E BIRON;;;
.NOUS CORAIL;;30252;SOMMIERES CEDEX;04.66.80.00.09;04.66.80.39.38;Non;;;;SARL TRANSVINS;;;
.NOUS GALLARGUES;;30660;GALLARGUES LE MONTUEUX;;;Non;;;;.NOUS GALLARGUES LE MONTUEUX;;;
.NOUS MUDAISON;;34130;MUDAISON;04.67.70.31.22;04.67.88.02.23;Non;;;;TRANSVINS SE/ CEPAGE DE MEDITERRANEE;;cépage.medit@libertysurf.fr;
.NOUS S/E ESV;;84700;SORGUES;;;Non;;;;.NOUS TRANSVINS S/E ESV;;;
.NOUS S/E PREAU ET CIE;;34200;SETE;;;Non;;;;TRANSVINS S/E PREAU ET CIE;;;
.NOUS S/E SVE;;16130;GENSAC LA PALLUE;05.45.35.94.54;05.45.35.93.81;Non;;;;TRANSVINS S/E SVE;;;
.NOUS SOMMIERES;;30252;SOMMIERES;;;Non;;;;Sarl TRANSVINS;;;
.NOUS ST GENIES;;34160;ST GENIES DES MOURGUES;;;Non;;;;CAVE COOP ST GENIES;;;
.NOUS ST GENIES S/E TRANSVINS;;30260;VIC LE FESQ;;;Non;;;;ST GENIES S/E TRANSVINS;;;
.NOUS VIC LE FESQ;;30260;VIC LE FESQ;04.66.77.82.11;04.66.77.88.63;Non;;;;.NOUS VIC LE FESQ;;;
A 4 MAINS;;30127;BELLEGARDE;06.75.86.60.04;04.66.01.12.57;Non;;;;EARL A 4 MAINS;;lessourcesdelamarine@wanadoo.fr;
ABEILHAN;;34290;ABEILHAN;04.67.39.00.20;04.67.39.25.11;Non;;;;LES COTEAUX DE THONGUE;;coteauxdabeilhan@orange.fr;
ABEL MICHEL;;34410;SERIGNAN;06.14.97.35.21;;Non;;;;ABEL MICHEL;;;
ACTI NEGOCE;;44330;VALLET;02.40.38.28.00;;Non;;;;ACTI NEGOCE;;;
ADISSAN (COOP);;34230;ADISSAN;04.67.25.01.07;04.67.25.37.76;Non;;;;CAVE COOPERATIVE D'ADISSAN;;clairette.adissan@wanadoo.fr;
AGREIL1;;30800;ST GILLES;;;Non;;;;G.F.A du Chateau des Cassagnes;;;
AGREIL2;;30128;GARONS;04 66 70 01 81;;Non;;;;SCA DU DOMAINE ST ROCH;;;
AGUILAR;;30320;BEZOUCE;04 66 75 31 37;;Non;;;;Monsieur  Aguilar;;;
AIGREMONT;;30300;BEAUCAIRE;;;Non;;;;CAVE D AIGREMONT;;;
AIGUES VIVES (COOP);;30670;AIGUES VIVES;04.66.35.32.09;;Non;;;;Cave Coopérative d'Aigues Vives;;;
AIR DE FAMILLE;;26790;TULETTE;04.75.98.01.84;04.75.98.39.09;Non;;;;GFA UN AIR DE FAMILLE;;danielcouston@hotmail.fr;
ALAIN MARY;;30700;BLAUZAC;04.66.04.03.84;;Non;;;;MONSIEUR MARY ALAIN;;;
ALAUZE1;;34290;SERVIAN;04.67.39.17.00;04.67.39.17.00;Non;;;;MME ALAUZE BEATRICE;;;
ALAUZE2;;34480;MAGALAS;06.12.88.61.13;;Non;;;;MME ALAUZE EMILIE;;emilie.alauze@gmail.com;
ALBAREL DOMAINE;;11200;ST ANDRE DE ROQUELONGUE;04.68.45.10.20;04.68.45.10.20;Non;;;;DOMAINE ALBAREL;;;
ALBIN JACUMIN;;84231;CHATEAUNEUF DU PAPE;06.14.61.41.43;04.90.83.78.55;Non;;;;DOMAINE ALBIN JACUMIN;;;
ALEXANDRE GAUTIER;;44330;VALLET;02.40.33.93.08;02.40.36.23.83;Non;;;;ETS ALEXANDRE GAUTIER;;vins.alexandre.gautier@orange.fr;
ALHUGENS;;30700;BLAUZAC;06.11.81.68.01;;Non;;;;SCEA DOMAINE DES ALHUGUENS;;;
ALLIANCE;;81600;GAILLAC;05.63.81.54.96;;Non;;;;SICA ALLIANCE DES VIGNERONS DU TARN;;;
AMANDINE;;84110;SEGURET;04.90.46.12.39;04.90.46.16.64;Non;;;;EARL DE L'AMANDINE;;domaine.amandine@wanadoo.fr;
AMERICAINS (CLOS DES);;30600;VAUVERT;04.66.88.85.61;04.66.88.91.96;Non;;;;SCEA CLOS DES AMERICAINS;;contact@clos-des-americains.com;
ANDRE;;30200;BAGNOL S/ CEZE;04.66.39.83.06;;Non;;;;LES VINS DU SOLEIL;;;
ANGLES VINCENT ET XAVIER;;84450;JONQUERETTES;04.90.22.53.22;;Non;;;;EARL VINCENT ET XAVIER ANGLES;;;
ANIANE;;34150;ANIANE;04.67.57.70.06;04.67.57.41.33;Non;;;;CAVE COOPERATIVE;;;
ANSOUIS;;84240;ANSOUIS;04.90.09.83.97;04.90.09.93.52;Non;;;;COOPERATIVE VINICOLE DES COTEAUX;;;
ANTOINE DMNE;;30800;SAINT GILLES;04.66.01.87.29;04.66.01.87.29;Non;;;;EARL DU DOMAINE DE ST ANTOINE;;;
ARAMON (COOP);;30390;ARAMON;04.66.57.40.08;04.66.57.02.88;Non;;;;Cooperative vinicole intercommunale;;lesvigneronsdaramon@wanadoo.fr;
ARBOUX CHRISTIAN;;34800;LIAUSSON;06.24.62.56.54;04.67.96.66.18;Non;;;;MONSIEUR ARBOUX CHRISTIAN;;christian.arboux@nordnet.fr;
ARCHE;;84120;PERTUIS;;;Non;;;;SCEA L'ARCHE M. SOUZAN;;;
ARDECHOIS VIGNERONS;;07120;RUOMS;04.75.39.98.00;;Non;;;;UNION DES VIGNERONS ARDECHOIS;;;
ARDIZZONE CHRISTINE;;83340;FLASSANS;04.94.69.73.33;;Non;;;;MME ARDIZZONE CHRISTINE;;;
ARGELLIERS MICHEL;;30260;SARDAN;04.66.77.83.49;;Non;;;;MR ARGELLIERS MICHEL;;;
ARINO SEBASTIEN;;11000;CARCASSONNE;06.16.40.76.03;;Non;;;;MR ARINO SEBASTIEN;;sebastien.arino@laposte.net;
ARLETTE DAULY;;34480;FOUZILHON;04.67.24.78.81;;Non;;;;DAULY ARLETTE;;;
ARMANET;;30300;JONQUIERES SAINT VINCENT;04.66.74.52.50;04.66.74.52.50;Non;;;;EARL ARMANET;;armanet.michel@wanadoo.fr;
ARNAL DOMAINE;;30980;LANGLADE;04.66.81.31.37;04.66.81.83.08;Non;;;;SCEA DOMAINE ARNAL;;contact@domaine-arnal.com;
ARNAUD SIMONE;;84110;VAISON LA ROMAINE;;;Non;;;;Madame Simone ARNAUD;;;
ASSAS (COOP);;34820;ASSAS;04.67.59.62.55;04.67.59.56.39;Non;;;;S.C.A Les Vignerons du Pic;;COMPTA04.67.65.93.55;
ASTIER MAXIME;;30126;SAINT LAURENT LES ARBRES;04.66.50.43.66;04.66.50.43.66;Non;;;;MR ASTIER MAXIME;;astiermaxime@free.fr;
ASVMT ESAT PH.DELORD;;30130;ST PAULET DE CAISSON;04.66.90.41.21;04.66.90.41.11;Non;;;;ASVMT ESAT PH. DELORD;;esta.ph.delord@chartreusedevalbonne.com;
AUJOUX;;71570;LA CHAPELLE DE GUINCHAY;03.85.23.83.50;;Non;;;;LES VINS AUJOUX;;;
AUQUIER (DMNE);;30260;CANNES ET CLAIRAN;06.11.54.77.43;;Non;;;;Monsieur AUQUIER;;;
AURETO;;84400;GARGAS;04.90.74.71.75;04.90.74.71.86;Non;;;;EARL CAVE AURETO;;;
AUTARD/LE PATY;;30300;FOURQUES;06.26.56.15.38;;Non;;;;EARL DU MAS D AUTARD;;SIRET : 399 427 004 00011;
AVEROUS;;34500;BEZIERS;04.67.30.16.44;;Non;;;;SCEA AVEROUS;;;
AVIGNON (TERRES);;84310;MORIERES LES AVIGNON;04.90.33.55.20;;Non;;;;SCEA TERRES D AVIGNON;;;
AYMARD;;84200;SERRES - CARPENTRAS;04.90.60.06.35;04.90.67.02.72;Non;;;;SCEA AYMARD;;;
AZEMA MAX;;34460;ROQUEBRUN;04.67.24.98.36;;Non;;;;MR AZEMA MAX;;;
AZILLE;;11700;AZILLE;04.68.91.40.29;04.68.91.56.54;Non;;;;CAVE COOPERATIVE AZILLE;;coop.azille@wanadoo.fr;
BACHELLERY;;34500;BEZIERS;04.67.62.36.15;04.67.35.19.38;Non;;;;DOMAINE DE BACHELLERY;;;
BACO;;13600;ALCAZAR DE SAN JUAN;;;Non;;;;Baco s coop;;;
BALMA VENITIA;;84190;BEAUME DE VENISE;04.90.12.41.14;04.90.12.41.21;Non;;;;VIGNERONS DE BALMA VENITIA;;thierry.sansot@beaumes-de-venise.com;
BANCHEREAU;;16120;ERAVILLE;05.45.97.13.54;05.45.97.15.02;Non;;;;STE BANCHEREAU;;;
BARBE CAILLETTE;;30600;VAUVERT;06.30.78.89.37;;Non;;;;BARBE CAILLETTE;;;
BARJAC;;30430;BARJAC;04.66.24.50.18;04.66.24.50.18;Non;;;;CAVE COOPERATIVE DE BARJAC;;;
BARNIER JEAN;;84260;SARRIANS;04.90.65.42.73;;Non;;;;EARL BARNIER JEAN;;;
BARNOUIN;;30190;BOUCOIRAN;06.12.96.86.33;04.66.83.31.08;Non;;;;SCEA BARNOUIN;;;
BAROUX;;84700;SORGUES;;;Non;;;;EARL BAROUX;;;
BARRY;;07700;BOURG ST ANDEOL;04.75.54.52.87;;Non;;;;EARL BARRY;;;
BARTHES DANIEL;;11610;PENNAUTIER;04.68.25.94.23;04.68.47.14.09;Non;;;;MR BARTHES DANIEL;;;
BARULETTES;;84100;ORANGE;;;Non;;;;DOMAINE DES BARULETTES SCEA;;;
BASSO SYLVIE;;30250;COMBAS;;;Non;;;;BASSO SYLVIE;;;
BASTET;;30200;SABRAN;04.66.39.33.36;04.66.39.92.01;Non;;;;SARL VIGNOBLE DE BASTET;;chateau.bastet@wanadoo.fr;
BASTIDE;;30126;TAVEL;06.07.34.00.38;;Non;;;;MONSIEUR JEAN MARIE BASTIDE;;;
BAUDOIN DE GOULAINE;;44650;CORCOUE SUR LOGNE;02.40.26.68.66;02.40.26.66.73;Non;;;;EARL BAUDOIN DE GOULAINE;;baudoin.de-goulaine@wanadoo.fr;
BAUQUIERE;;13114;PUYLOUBIER;04.42.38.16.94.;;Non;;;;LA GRANDE BAUQUIERE;;;
BAURES BERTRAND;;11240;FENOUILLET DU RAZES;06.09.39.57.18;;Non;;;;GAEC BERTRAND BAURES;;;
BEAUBOIS;;30640;FRANQUEVAUX;04.66.73.30.59;04.66.73.33.02;Non;;;;SCEA CHATEAU BEAUBOIS;;www.chateau-beaubois.com;
BEAUCAIRE;;30300;BEAUCAIRE;04 66 59 82 70;;Non;;;;CAVE COOPERATIVE DE BEAUCAIRE;;;
BEAUMONT;;30126;LIRAC;;;Non;;;;MR LE DIRECTEUR DE LA EARL;;;
BEAURENARD DOMAINE DE;;84230;CHATEAUNEUF DU PAPE;04.90.83.71.79;04.90.83.78.06;Non;;;;BEAURENARD DOMAINE DE;;paul.coulon@beaurenard.fr;
BEAUVOISIN;;30640;BEAUVOISIN;04.66.01.37.14;04.66.01.85.73;Non;;;;CAVE COOPERATIVE DE BEAUVOISIN;;;
BEBIDAS;;46120;ALBORAYA;0034963568750;0034963568755;Non;;;;Bodégas Y Bébidas;;;
BECAMEL BEATRICE;;30132;CAISSARGUES;04.66.29.14.79;04.66.29.14.79;Non;;;;MLLE BEATRICE BECAMEL;;vin.chateau.bolchet@wanadoo.fr;
BECK;;30600;VAUVERT;04.66.53.54.28;04.66.88.04.63;Non;;;;Chateau de BECK;;;
BEDRINES;;34480;PUISSALICON;04.67.36.18.73;;Non;;;;EARL BEDRINES;;;
BELLE FEUILLE;;30200;VENEJAN;04 66 79 27 33;04 66 79 22 82;Non;;;;SARL  DOMAINE DE BELLE FEUILLE;;domaine.bellefeuille@wanadoo.fr;
BELLE FONTAINE DMNE;;30510;GENERAC;;;Non;;;;DOMAINE DE BELLE FONTAINE;;;
BELLECOSTE;;30132;CAISSARGUES;04.66.20.26.48;04.66.20.16.90;Non;;;;EARL DOMAINE DE BELLECOSTE;;;
BELLEVUE;;34290;MONTBLANC;04.67.98.50.01;04.67.98.58.66;Non;21/12/2011;;;FONTES PERA HELENE;;domainebellevue@yahoo.fr;
BELURAC DMNE TESSIER;;34660;COURNONTERRAL;;;Non;;;;DOMAINE DE BELURAC;;;
BENIN;;34490;THEZAN LES BEZIERS;04.67.36.28.64;04.67.36.35.64;Non;;;;MR BENIN GUY;;SIRET : 412427163 00016;
BENOIT GUIGON BOUCOIRAN;;30800;ST GILLES;;;Non;;;;EARL BENOIT-GUIGON-BOUCOIRAN;;;
BENOVIE/ST CHRISTOL;;34160;BOISSERON;04.67.86.58.44;04.67.86.52.43;Non;;;;UNION  DES CAVES USCA BENOVIE;;;
BERGUEROLLES;;30500;ST AMBROIX;04 66 24 01 84;;Non;;;;EARL Cave St Etienne;;;
BERLOU;;34360;BERLOU;04.67.89.58.58;04.67.89.59.21;Non;;;;CAVE COOPERATIVE DE VINIFICATION;;contact@berloup.com;
BERNAVON;;30300;BEAUCAIRE;04.66.59.22.37;04.66.59.22.37;Non;;;;EARL BERNAVON;;;
BERTHAUD;;;;;;Non;;;;;;;
BERTHETE;;84850;CAMARET;;;Non;;;;SARL DOMAINE DE LA BERTHETE;;;
BERTHOMIEU;;3434480;LAURENS;06.72.33.08.09;;Non;;;;MR BERTHOMIEU CHARLES;;;
BERTRAND JACQUES;;84190;VACQUEYRAS;;04.90.65.83.93;Non;;;;MR BERTRAND JACQUES;;bejacq@wanadoo.fr;
BESSAN;;34550;BESSAN;04.67.77.42.03;04.67.77.50.42;Non;;;;SCA LE ROSE DE BESSAN;;le.rose.de.bessan@wanadoo.fr;
BEZIERS CAVE COOP;;34760;BOUJAN SUR LIBRON;04.67.31.27.23;04.67.31.06.98;Non;;;;SCAV LES CAVES DE BEZIERS;;;
BIRON;;34200;SETE;;;Non;;;;SOCIETE BIRON SA;;;
BISCARRAT MICHEL;;84150;JONQUIERES;04.90.70.31.49;04.90.70.31.49;Non;;;;MR BISCARRAT MICHEL;;;
BLANC PATRICK;;30260;ORTHOUX SERIGNAC;06.22.82.19.16;;Non;;;;MR BLANC PATRICK;;;
BLANCHES;;13210;ST REMY DE PROVENCE;04.90.95.91.66;;Non;;;;SCEA NOUVELLE SOCIETE D'EXPLOITATION;;;
BLEY BOUCHE;;84231;CHATEAUNEUF DU PAPE;;;Non;;;;MME BLEY BOUCHE;;;
BODEGAS;;02001;ALBACETE;;;Non;;;;C.R.A BODEGAS;;;
BODEGAS1;;13620;PEDRO MUNOZ;926 586 057;926 568 380;Non;;;;SAN  ISIDRO BODEGAS;;;
BOIS ET FILS;;30129;MANDUEL;04.66.01.10.35;04.66.01.75.35;Non;;;;SARL VIGNOBLES BOIS ET FILS;;vignoblebois@wanadoo.fr;
BOISSERON CAVE COOP;;34160;BOISSERON;04.67.86.62.23;;Non;;;;CAVE COOP DE VINIFICATION DE BOISSERON;;;
BOISSIER J P;;34400;SAINT SERIES;04.67.86.08.65;04.67.86.08.65;Non;;;;MR BOISSIER JEAN PIERRE;;;
BOISSON J.PIERRE;;84230;CHATEAUNEUF DU PAPE;;;Non;;;;SCEA JEAN PIERRE BOISSON;;;
BOLCHET;;30132;CAISSARGUES;04 66 20 33 77;04.66.20.39.43;Non;;;;SCEA DOMAINE D'ADRIEN;;ghislaine.guiraud@libertysurf.fr;
BON RENCONTRE;;84820;VISAN;;;Non;;;;EARL BON RENCONTRE;;;
BONFILS;;30250;FONTANES;;;Non;;;;BONFILS BRUNO;;;
BONFILS 1;;84110;SABLET;;;Non;;;;EARL BONFILS CHRISTIAN;;;
BONLOUIS;;30900;NIMES;04.66.68.91.11;04.66.62.38.07;Non;;;;SASU BONLOUIS;;;
BONNEFOY;;84600;VALREAS;06.83.83.72.58;;Non;;;;MME BONNEFOY LAURENCE;;;
BORDA SCEA;;34480;MAGALAS;04.67.36.22.86;04.67.36.61.24;Non;;;;SCEA BORDA ALAIN ET PHILIPPE;;;
BORNE;;30300;BEAUCAIRE;06.84.29.79.09;;Non;;;;INDIVISION BORNE;;;
BORNE JACQUELINE;;30300;BEAUCAIRE;;;Non;;;;MADAME BORNE JACQUELINE;;;
BORNE LUC;;30300;BEAUCAIRE;06.84.29.79.09;;Non;;;;Monsieur BORNE LUC;;SIRET : 421 0919350013;
BOSQUET;;07400;VALVIGNIERES;04.75.52.64.71;;Non;;;;EARL BOSQUET ET FILS;;frederic.bosquet@sfr.fr;
BOUCHE ET FILS;;84850;CAMARET SUR AIGUES;04.90.37.25.07;04.90.37.76.84;Non;;;;EARL VIGNOBLES BOUCHE ET FILS;;bjc.bouche@wanadoo.fr;
BOUCHET;;30130;SAINT PAULET DE CAISSON;04.66.39.38.88;;Non;;;;GAEC BOUCHET;;;
BOUET;;30260;VIC LE FESQ;04.66.77.87.13;04.66.77.87.13;Non;;;;MR BOUET ERIC;;;
BOUGRIER;;41400;ST GEORGES SUR CHER;02.54.71.31.02;02.54.71.31.42;Non;;;;ETS BOUGRIER;;st.georges@bougrier.fr;
BOUILLARGUES;;30230;BOUILLARGUES;04.66.20.14.79;04.66.20.13.04;Non;;;;SCA CELLIER DES VESTIGES ROMAINS;;;
BOUKANDOURA HENRI;;34490;CESSENON;04.67.89.61.42;;Non;;;;MR BOUKANDOURA HENRI;;;
BOULBON;;30190;ST ANASTASIE;04.66.81.28.33;;Non;;;;EARL DOMAINE DE FONTAINE BOULBON;;;
BOUQUET PIERRE;;84110;RASTEAU;04.90.46.13.39;;Non;;;;EARL PIERRE BOUQUET;;;
BOURGUES HARDOIN APT;;84400;GARGAS;04.90.74.27.66;;Non;;;;HARDOUIN CHRISTIAN;;SIRET : 438 643 116 000 17;
BOURRY;;30740;LE CAILAR;04.66.88.52.61;;Non;;;;EARL DOMAINE DU PETIT BOURRY;;;
BOUTEILLE SEBASTIEN;;84260;SARRIANS;06.10.02.54.85;;Non;;;;MR SEBASTIEN BOUTEILLE;;;
BOUTIN;;30250;ASPERES;04.66.80.05.60;;Non;;;;Cave Boutin Jean Claude;;;
BRESSADES;;30129;MANDUEL;04.66.01.66.00;04.66.01.80.20;Non;;;;EARL MAS DES BRESSADES;;;
BRIEZ;;30127;BELLEGARDE;06.15.92.03.94;;Non;;;;MR BRIEZ GAEL;;;
BRIFFAUDE;;34530;MONTAGNAC;04.67.24.11.77;04.67.24.11.77;Non;;;;EARL BRIFFAUDE;;labriffaude@yahoo.fr;
BROTTE SA;;84230;CHATEAUNEUF DU PAPE;;;Non;;;;S.A BROTTE;;;
BRUEL DMNE  PETIT CHAUMONT;;30220;AIGUES MORTES;04.66.53.60.63;04.66.53.64.31;Non;;;;GAEC BRUEL;;gaec.bruel@wanadoo.fr;
BRUGUIERES;;30130;SAINT PAULET DE CAISSON;06.26.43.85.60;;Non;;;;EARL LES BRUGUIERES;;;
BRUNEL;;30150;ROQUEMAURE;04.66.82.82.59;;Non;;;;SARL BRUNEL FRERES;;;
BRUNO DORTHE;;07700;SAINT MARCEL D'ARDECHE;04.75.04.67.85;04.75.98.74.93;Non;;;;DORTHE BRUNO;;;
BRUSSET;;84290;CAIRANNE;04.90.30.82.16;04.90.30.73.31;Non;;;;DOMAINE BRUSSET SA;;domaine-brusset@wanadoo.fr;
BUZIGNARGUES (COOP);;34160;GALARGUES;04.67.86.96.45;04.67.86.14.14;Non;;;;S.C.A Buzignargues Galargues;;SIRET 77600001000012;
C.R.A BODEGAS;;02001;ALBACETE;;;Non;;;;C.R.A BODEGAS;;;
CABANE FRERES;;30350;SAINT JEAN DE SERRES;04.66.92.08.68;04.66.83.45.96;Non;;;;SCEA CABANE FRERES;;;
CABANIS JEAN-PAUL;;30640;BEAUVOISIN;04.66.88.78.33;04.66.88.41.73;Non;;;;MONSIEUR JEAN-PAUL CABANIS;;domaine.cabanis@orange.fr;
CABARET;;11800;LAURE MINERVOIS;04.68.78.12.12;;Non;;;;CELLIER LAURENT CABARET;;;
CABEZAC CHATEAU;;11120;BIZE MINERVOIS;04.68.46.23.05;04.68.46.21.93;Non;;;;SCEA CHATEAU CABEZAC;;;
CABIX GFA;;34620;PUISSERGUIER;06.32.57.89.00;04.67.93.79.13;Non;;;;GFA CABIX;;;
CABRIERES;;30610;ST NAZAIRE DES GARDIES;04.66.77.32.96;04.66.77.32.96;Non;;;;SCEA DOMAINE DE CABRIERES;;;
CADENE 1;;30980;LANGLADE;04.66.81.30.22;04.66.81.30.22;Non;;;;CADENE FRERES;;;
CADENET;;84160;CADENET;04.90.68.06.21;04.90.68.25.84;Non;;;;CAVE VINICOLE DE LOURMARIN CADENET;;;
CADIVIN;;90047;PARTINICO (PA);;;Non;;;;CADIVIN;;;
CALLEGARI J.LOUIS;;34760;BOUJAN SUR LIBRON;04.67.31.42.82;;Non;;;;MR CALLEGARI JEAN-LOUIS;;;
CALVISSON (COOP);;30420;CALVISSON;04.66.01.31.31;04.66.01.28.96;Non;;;;S.C.A Les Vignerons de Calvisson;;SIRET 775 866 411 00017;
CAMARIE;;34370;MAUREILHAN;04.67.49.29.12;;Non;;;;EARL DOMAINE DE LA CAMARIE;;;
CAMBERTIER FEUILLADE;;30260;MONTMIRAT;04.66.77.85.35;04.66.77.85.35;Non;;;;GAEC CAMPBERTIER FEUILLADE JM ET JF;;campbertier.feuillad@free.fr;
CAMMARTIN;;30300;BEAUCAIRE;04.66.59.22.47;;Non;;;;GFA CAMMARTIN;;;
CAMPAGNE;;34160;CAMPAGNE;04.67.86.94.44;04 67 86 80 81;Non;;;;CAVE COOP DE VINIFICATION;;;
CAMPARINE;;34490;MURVIEL LES BEZIERS;;;Non;;;;DOMAINE DE CAMPARINE;;;
CAMPUGET;;30129;MANDUEL;04.66.20.20.15;04.66.20.60.57;Non;;;;CAMPUGET SAS;;campuget@campuget.com;
CANAULES CAVE;;30350;CANAULES;;;Non;;;;CAVE COOPERATIVE CANAULES ET ARGENTIERES;;;
CAPITOLS (DMNE);;34200;BEZIERS;04 67 35 10 81;;Non;;;;DOMAINE DES CAPITOLS;;;
CARACTERE;;84190;VACQUEYRAS;04.90.65.84.54;;Non;;;;LES VIGNERONS DE CARACTERE;;;
CARBONNE;;34490;MURVIEL LES BEZIERS;06.07.65.34.69;04.67.37.97.43;Non;;;;MME CARBONE LISE;;domainegaltier@wanadoo.fr;
CARCASSONNE;;11880;CARCASSONNE;;;Non;;;;GROUPE UCCOAR;;;
CARDET (COOP);;30350;CARDET;04.66.83.00.63;04.66.83.08.42;Non;;;;SCA LES VIGNERONS;;cavecardet@wanadoo.fr;
CARDINAUX;;84230;CHATEAUNEUF DU PAPE;04.90.83.70.58;;Non;;;;SCEA RESERVE DES CARDINAUX;;;
CARLE;;30200;ST ETIENNE DES SORTS;;;Non;;;;GAEC CARLE;;;
CARLOT;;30127;BELLEGARDE;04.66.01.11.83;04.66.01.62.74;Non;;;;GFA DU MAS CARLOT;;mascarlot@aol.com;
CARNAS (COOP);;30260;CARNAS;04.66.77.30.76;;Non;;;;SCA Les Vignerons de Carnas;;;
CAROLINES;;34230;GABIAN;04.67.24.66.48;04.67.24.60.06;Non;;;;GAEC CLOS DES CAROLINES;;;
CAROMB CAVE COOP;;84330;CAROMB;04.90.62.40.24;04.90.62.48.83;Non;;;;CAVE COOPERATIVE VINICOLE;;;
CARTIER J.PIERRE;;84190;GIGONDAS;;;Non;;;;SCEA JEAN PIERRE CARTIER;;;
CASSAGNE HAUTE;;30800;ST GILLES;06.12.03.71.46;;Non;;;;CHATEAU HAUTE CASSAGNE;;;
CASSIGNOL;;34500;BEZIERS;04.67.28.01.96;04.67.28.07.62;Non;;;;Ste Exploitation Des Ets Cassignol Trans;;;
CASSILLAC (FERME);;84600;VALREAS;04.90.37.44.35;;Non;;;;GAEC FERME CASSILLAC;;;
CASTAN;;30390;DOMAZAN;04.66.57.09.57;;Non;;;;MONSIEUR CASTAN RENE;;;
CASTEL  J M;;11560;FLEURY D AUDE;04.68.33.72.82;04.68.33.72.82;Non;;;;MR CASTEL JEAN MARIE;;SIRET :;
CASTEL1;;34536;BEZIERS;04.67.11.88.00;;Non;;;;CASTEL FRERES;;;
CASTELBON DE BEAUXHOSTE;;34760;BOUJAN;04.67.30.26.91;;Non;;;;SCEA CASTELBON DE BEAUXHOSTE;;;
CASTELNAU DMNE;;34120;CASTELNAU DE GUERS;04.67.98.16.19;04.67.09.43.17;Non;;;;GFA DMNE DE CASTELNAU;;castelnau1@wanadoo.fr;
CASTILLON ET FILS;;30800;ST GILLES;04.66.87.04.49;04.66.87.16.02;Non;;;;S.C.E.A CASTILLON ET FILS;;;
CATHALA J.LOUIS;;11700;AZILLE;06.11.16.88.81;04.68.91.63.94;Non;;;;MR CATHALA JEAN LOUIS;;;
CAUPERT;;30740;LE CAILAR;06.75.57.63.55;;Non;;;;CAUPERT STEPHANE;;;
CAUSSE;;81170;NOAILLES;05.63.56.81.16;;Non;;;;MR CAUSSE JEAN MARIE;;;
CAVEAUX;;34310;QUARANTE;04.67.89.40.39;;Non;;;;EURL CAVEAUX;;;
CAVES LABLACHERE;;07230;LABLACHERE;04.75.36.65.37;04.75.36.69.25;Non;;;;CAVE LABLACHERE;;;
CAZILHAC;;34480;POUZOLLES;06.11.05.89.41;;Non;;;;GFA CAZILHAC;;;
CELLIER DES PRINCES;;84350;COURTHEZON;04.90.70.21.44;;Non;;;;LE CELLIER DES PRINCES;;;
CERENE SYLVAIN;;30190;MOUSSAC;06.15.02.40.15;;Non;;;;MR SYLVAIN CERENE;;scerene@free.fr;
CERLES;;34500;BEZIERS;;;Non;;;;S.E DES ETS CERLES;;;
CERS COOP;;34420;CERS;04.67.39.31.79;04.67.39.45.47;Non;;;;COOP DE CERS;;;
CESSENON;;34460;CESSENON;04.67.89.65.36;04.67.89.57.54;Non;;;;SCAV DE CESSENON;;;
CEZARENQUE;;30130;SAINT ALEXANDRE;;;Non;;;;LES TERROIRS DE LA CEZE;;;
CHABRAN;;84230;CHATEAUNEUF DU PAPE;04.90.63.34.03;;Non;;;;SCEA FERME CHABRAN;;fermechabran@orange.fr;
CHABRIER;;30190;BOURDIC;04.66.81.24.24;04.66.81.24.74;Non;;;;SARL COMMERCIALE CHABRIER;;sarlcommerciale.chabrier@orange.fr;
CHABROT J F;;83870;SIGNES;04.94.66.12.89;06.82.21.17.56;Non;;;;MR CHABROT JEAN FRANCOIS;;SIRET 44017908300025;
CHAMPAGNE DISTILLERIE;;16130;SEGONZAC;05.45.83.30.45;;Non;;;;DISTILLERIE DE LA CHAMPAGNE;;distilleriedelachampagne@yahoo.fr;
CHAMPS BLANC;;34370;MAUREILHAN;04.67.93.31.41;04.67.32.29.72;Non;;;;GAEC BENOIT;;contact@champsblancs.com;
CHANSSAUD;;84100;ORANGE;;;Non;;;;SAS PATRICK JAUME;;;
