Nom abrégé;Tel. int.;C. P.;Ville;Téléphone 1;Téléphone 2;Fax;N° compte;Famille;Raison sociale;Type;Région                        ;Email;Représentant
FTV PROD;;69400;LIERGUES;0626980721;;0482531287;FTV PROD;;FTV PROD FREDERIC THIOLET VINS; ;;frederic@ftv-production.com;
FUTAILLES (MAISON DES );;H1N3M7;MONTREAL;;;;FUTAILLE;;MAISON DES FUTAILLES; ;;;
G.B.E.L;;11100;NARBONNE;04.68.42.68.68;;04.68.48.37.78;G.B.E.L;;SPH GERARD BERTRAND; ;;;
GALLICIAN ( CAVE );;30600;GALLICIAN;04 66 73 31 65;;;GALLICIA;;SCA GALLICIAN; ;;;
GARRIGUES;;26790;ROCHEGUDE;09.61.37.89.52;06.78.30.62.43;04.75.01.99.64;GARRIGUE;;SARL LES VINS DES GARRIGUES; ;;helene.goudet@domaine5sens.com;
GBH;;11100;NARBONNE;04.68.42.68.68;;04.68.48.37.78;GBH;;GBH; ;;;
GERARD BERTRAND;;11100;NARBONNE;04.68.45.36.00;;04.68.45.27.15;GERARD B;;SPH GERARD BERTRAND; ;;vins@gerard-bertrand.com;
GERARD1 B;;11100;NARBONNE;;;;GERARD1;;GERARD BERTRAND SPH; ;;;
GERMAINE;T2+1;10150;PONT STE MARIE;03.25.81.04.84;;;GERMAINE;;ETS GERMAINE; ;;;
GIGNAC;;34150;GIGNAC;;;;GIGNAC;;SCAV TOURS ET TERROIRS; ;;;
GILLES LOUVET;;11100;NARBONNE;04.68.90.12.80;;;GILLES L;;GILLES LOUVET; ;;;
GIORDANO;T1;12055;DIANO D'ALBA - CN;0039.01.73.23.91.11;;0039.01.73.23.92.09;GIORDANO;;GIORDANO VINI SPA; ;;giuditta.barale@giordano-vini.com;
GIRAUD;;33240;ST ANDRE DE CUBZAC;05.57.43.01.44;;05.57.43.99.89;GIRAUD;;ETS GIRAUD; ;;;
GMBH (EXPORT UNION);;78805;LANDAU/RFALZ;;;;GMBH (EX;;INTERTRAUBEN GMBH; ;;;
GNF;;NY 11580;VALLEY STREAM;1-516-596-6868;;;GNF;;GNF GROUP INC; ;;;
GOICHOT;T1;21190;MERCEUIL;03.80.25.91.30;;;GOICHOT;;Goichot Andre SA; ;;;
GOICHOT1;;21200;BEAUNE;03.80.25.91.30;;03.80.25.91.29;GOICHOT1;;MAISON ANDRE GOICHOT; ;;;
GRAND SUD;;30130;SAINT ALEXANDRE;0466390200;;;GRAND SU;;VIGNERONS DU GRAND SUD; ;;;
GRAND SUD VINS;;34201;SETE;0467466790;;;GRAND SU;;GRAND SUD VINS; ;;;
GRUMEL;T1;01700;ST MAURICE DE BEYNOST;04.78.55.15.27;;;;;Vins Henry Grumel; ;;;
GTS;;69220;ST JEAN D ARDIERES;;;;GTS;;GTS S/E SA GRANDS VINS SELECTION; ;;;
GUEMENE;;44290;GUEMENE PENFAO;02.40.51.05.42;;02.40.51.17.18;GUEMENE;;CAVE DE GUEMENE; ;;cave.guemene@wanadoo.fr;
GUIGAL;;69420;AMPUIS;04 74 56 10 22;;04.74.56.18.76;GUIGAL;;GUIGAL SA; ;;;
GVG;;33450;SAINT LOUBES;05.57.97.07.20;;;GVG;;GRANDS VINS DE GIRONDEI; ;;;
GVS;T1;69220;ST JEAN D ARDIERES;04.74.66.57.24;;04.74.66.57.25;;;*G.V.S; ;;;
GVS CHEZ OFFICE;;71960;PRISSE;;;;GVS CHEZ;;GVS; ;;;
GVS LOMAT;;30340;MONS;04 66 83 10 61;;;GVS LOMA;;GVS; ;;;
GVS S/E ALAINE;;69220;ST JEAN D'ARDIERES;;;;GVS S/E;;G.V.S; ;;;
HAMMEL;;1180;ROLLE SUISSE;;;;HAMMEL;;MAISON HAMMEL SA; ;;;
HEAUSER;;D86850;FISCHACH;0049.823.696.05.0;;0049.823.696.052.41;HEAUSER;;HAUSER WEIN IMPORT GMBH; ;;;
HONTAAS;;24680;LA MONZIE SAINT MARTIN;05.53.74.28.92;;05.53.22.53.13;HONTAAS;;VINS PIERRE DE HONTAAS SARL; ;;;
INDAGE UK LTD;;NN17 4JW;CORBY.NORTHAMTONSHIRE;0044 1536276070;;;INDAGE U;;INDAGE UK LTD; ;;;
INKERMAN;;99703;SEVASTOPOL;380692722282;;;INKERMAN;;INKERMAN VINTAGE WINE FACTORY; ;;philippe-bonnet@hotmail.fr;
INTER CAVES;;33126;FRONSAC;05.57.84.94.94;;;INTER CA;;INTER CAVES; ;;;
JABOULET;;26600;LA ROCHE DE GLUN;04.75.84.68.93;;04.75.84.56.14;JABOULET;;DOMAINE PAUL JABOULET AINE; ;;e.bernard@jaboulet.com;
JAMES HERRICK;;11100;NARBONNE;04.68.42.38.92;;;JAMES HE;;VIGNOBLES JAMES HERRICK; ;;;
JAMET CAVES;;84350;COURTHEZON;04.90.70.72.78;;04.90.70.29.61;JAMET CA;;SARL CAVES JAMET; ;;;
JB VINS;;69006;LYON;04.26.65.84.04;06.31.20.09.18;04.26.65.84.04;JB VINS;;SARL J.B VINS; ;;jbvins@numericable.fr;
JEAN D'ALIBERT;;11160;RIEUX MINERVOIS;;;;JEAN D'A;;LES CELLIERS JEAN D'ALIBERT; ;;;
JEANJEAN;T1;34725;ST FELIX DE LODEZ;04.67.88.80.00;;04.67.88.81.76;;;*SA JEANJEAN; ;;;
JEANJEAN1;;34800;ASPIRAN;;;;JEANJEAN;;JEANJEAN SA; ;;;
JMV;;11600;RIEUX MINERVOIS;04.68.78.37.48;06.07.98.71.99;04.68.78.37.48;JMV;;SARL JMV; ;;SIRET 432 883 130;
JUSTAMON;;84101;ORANGE CEDEX;04.90.34.12.28;;;JUSTAMON;;ETS JUSTAMON; ;;;
K B B;T1;21200;BEAUNE;03 80 25 00 80;;;;;K B B; ;;;
L'ESPAVIOTE;;43370;CUSSAC SUR LOIRE;04.71.03.99.87;06.16.79.26.11;04.71.03.65.42;L'ESPAVI;;SARL L'ESPAVIOTE; ;;;
L'OCCITANIE;;34600;FAUGERES;04.67.95.98.70;;04.67.95.98.71;L'OCCITA;;LES TERROIRS DE L'OCCITANIE SAS; ;;;
L'OUSTAL;;11303;LIMOUX;04.68.74.79.40;;04.68.74.79.49;L'OUSTAL;;"L'OUSTAL ""ANNE DE JOYEUSE"""; ;;;
LA BASTIDE;;81150;MARSSAC SUR TARN;;;;;;Cave Cooperative; ;;;
LA CHAPELLE BOUBEE;;59333;LA CHAPELLE D ARMANTIERE;03.20.44.06.30;03.20.77.66.21;;BAYEUX;;LA  CHAPELLE MAISON J. BOUBEE; ;;;
LA CHEVALIERE;;34500;BEZIERS;04.67.49.88.35;;04.67.49.88.59;LA CHEVA;;SA MAS LA CHEVALIERE; ;;MR GILLES GALTIER;
LA FIEE DES LOIS;;79232;PRAHECQ;05.49.32.15.15;;;LA FIEE;;LA FIEE DES LOIS; ;;;
LA FORET;;13200;ARLES;04 90 98 70 05;;04 90 98 74 97;;;S C A Du Domaine de la Forêt; ;;;
LA SUZIENNE;;26790;SUZE LA ROUSSSE;04.75.04.48.38;;04.75.04.48.39;LA SUZIE;;CAVEAU LA SUZIENNE; ;;contactcaveau@lasuzienne.com;
LA VAROISE;;83260;LA CRAU;;;;;;Dilstillerie LA VAROISE SCA; ;;;
LABOUBEE;;32440;CASTELNEAU D AUZAN;;;;;;Scea de Laboubée; ;;;
LACHETEAU;;67290;PETERSBACH;02.40.36.66.00;;02.40.36.26.83;LACHETEA;;LACHETEAU SAS; ;;;
LACHETEAU 1;;67290;PETERSBACH;02.40.36.66.00;;;LACHETEA;;LACHETEAU SAS; ;;;
LACHETEAU 2;;49230;TILLIERES;02.41.70.45.93;;02.41.70.43.74;LACHETEA;;LACHETEAU TILLIERES; ;;;
LACHETEAU 3;;44194;CLISSON CEDEX;02.40.36.66.00;;02.40.36.26.83;LACHETEA;;LACHETEAU LA SABLETTE; ;;;
LACLIE;;16100;COGNAC;05458268;;;LACLIE;;MAISON RENE LACLIE; ;;;
LACROIX;;30102;ALES CEDEX;04.66.83.10.61;06.17.81.54.61;04.66.52.74.49;LACROIX;;SARL LACROIX; ;;lacroix.vin@free.fr;
LAMBLIN;T2;89800;MALIGNY LES CHABLIS;03.86.98.22.00;;03.86.47.50.12;;;Maison Lamblin Fils; ;;;
LANDIRAS (CAVE);;67290;PETERSBACH;05.57.98.07.20;;05.56.62.97.77;LANDIRAS;;LES GRANDS CHAIS DE FRANCE; ;;;
LANDIRAS 1;;33720;LANDIRAS;05.57.98.07.20;;05.56.62.45.38;LANDIRAS;;LES GRANDS CHAIS DE FRANCE; ;;;
LANGGUTH ERBEN;;D56831;TRABEN-TRAUBACH;00.49.65.41.17.300;;00.49.65.41.22.95;LANGGUTH;;LANGGUTH ERBEN G.M.B.H ET CO; ;;;
LAVAU;T1;84110;SABLET;04 90 28 28 80;;04 90 28 28 89;;;SA LAVAU MOURET & Cie; ;;;
LAVAU M;;84340;ENTRECHAUX;;;;LAVAU M;;LAVAU MOURET; ;;;
LAVAU MOURET;;84150;VIOLES;04.90.70.98.72;;;LAVAU MO;;ETS LAVAU MOURET; ;;;
LE CELLIER;T2;89400;MIGENNES;03 86 92 64 88;;03 86 80 91 66;;;LE CELLIER; ;;;
LE CLOS DU RENARD;;BE6180;COURCELLES;;;;LE CLOS;;LE CLOS DU RENARD; ;;;
LE VIEUX PRESSOIR;;73000;CHAMBERY;04.79.62.38.80;;04.79.96.97.11;LE VIEUX;;LE VIEUX PRESSOIR; ;;;
LEON FAVRE;;74150;RUMILLY;;;;LEON FAV;;CAVES LEON FAVRE; ;;;
LEROUSSEAU;;52210;ARC EN BARROIS;03 25 02 51 01;;03 25 31 23 95;LEROUSSE;;LEROUSSEAU-EUVRAD; ;;;
LES 3 VOUTES;T2;71420;GENELARD;03.85.79.20.46;;03.85.79.24.89;;;*Sarl Les Trois Voûtes; ;;;
LES AGAPES;T2;89000;AUXERRE;03.86.52.15.22;;03 86 51 57 66;;;Les Agapes; ;;ragaine.marc@wanadoo.fr;
LES CATALANS (VIGNERONS);;66962;PERPIGNAN CEDEX 9;04.68.85.04.51;;04.68.55.25.62;LES CATA;;LES VIGNERONS CATALANS; ;;;
LES CELLIER DE GRAND LIEU;;44860;ST AIGNAN DE GRAND LIEU;02 40 26 49 44;;02 40 236 40 99;-LES CEL;;LES CELLIERS DE GRAND LIEU; ;;;
LES GRANDES SERRES;;84231;CHATEAUNEUF DU PAPE CEDEX;04.90.83.72.22;;04.90.83.78.77;LES GRAN;;LES GRANDES SERRES; ;;;
LES VIGNERONS DES GARRIGUES;;30000;NIMES;;;;LES VIGN;;LES VIGNERONS DES GARRIGUES; ;;;
LES VINS SKALLI;;11590;CUXAC D AUDE;;;;LES VINS;;LES VINS SKALLI; ;;;
LI YANG;;300381;VR.CHINA;0086 22 23939619;;0086 15522470239;LI YANG;;LI YANG; ;;;
LILLET;;33720;PODENSAC;;;;LILLET;;LILLET FRERES; ;;;
LOMAT;;30;MONS;;;;LOMAT;; GVS Chez ETS LOMAT; ;;;
LOUCHE;;;;;;;LOUCHE;;LOUCHE; ;;;
LOUIS DIST.2;;11700;AZILLE;04.68.78.10.19;;;LOUIS DI;;SARL LOUIS DISTRIBUTION CHEZ; ;;;
LOUIS DISTRIBUTION;;34500;BEZIERS;04 67 35 20 66;;04 67 62 33 97;LOUIS DI;;ETS LOUIS DISTRIBUTION; ;;;
LOUIS S/E;;11700;PUICHERIC;;;;LOUIS S/;;LOUIS DISTRIBUTION S/E; ;;;
LOUVET;;11100;NARBONNE;04.68.90.12.80;;04 68 65 00 18;LOUVET;;SARL AGENCE CLVD; ;;l.puech@gilleslouvet.com;
LOUVET 1;;30580;BROUZET LES ALES;;06.48.79.17.21;;LOUVET 1;;CLVD VIGNOBLES GILLES LOUVET; ;;pe.euzenne@gilleslouvet.com;
LOVIS;;71570;LA CHAPELLE DE GUINCHAY;;;;LOVIS;;GVS S/E CLOVIS; ;;;
LUNEAU;;44120;VERTOU;0240332352;;;LUNEAU;;PASCAL LUNEAU; ;;;
MAILLET SA;;83870;SIGNES;04.94.10.03.63;;04.94.10.03.64;MAILLET;;MAILLET SA; ;;;
MAISON ROUGE;;84370;BEDARRIDES;04.90.33.10.57;;04.90.12.69.05;MAISON R;;SARL MAISON ROUGE; ;;;
MARCON;;43290;ST BONNET LE FROID;;;;MARCON;;Ets Guy MARCON; ;;;
MARGIACCHI;;I-52100;AREZZO;39 05759007922;;;MARGIACC;;MARGIACCHI GIOVANI; ;;INFO@MARGIACCHI.EU;
MARRON;;07150;VALLON PONT D'ARC;04 75 37 14 67;;;MARRON;;LES VINS A. MARRON; ;;;
MARTENOT FRANCOIS;;21209;BEAUNE CEDEX;03.80.24.70.07;;03.80.24.94.08;MARTENOT;;ETS TRESCH CLERGET; ;;;
MARTIN;;84190;VACQUEYRAS;0490123333;;0490123334;MARTIN;;MARTIN VINS; ;;;
MAUREL VEDEAU;;34290;SERVIAN;04.67.39.21.20;;;MAUREL V;;ALLIANCE TERROIRS; ;;;
MAYARD;;;;;;;MAYARD;;MAYARD; ;;;
MAYER JOSEF ALLEMAGNE;;78315;RADOLFZELL;;;;MAYER JO;;ID VINERUM GMBH; ;;;
MEDITERRANEE (LES VIGNERONS);;11100;NARBONNE;04.68.42.75.00;;;MEDITERR;;*LES VIGNERONS DE LA MEDITERRANEE; ;;;
MEFFRE GABRIEL;;84190;GIGONDAS;04.90.12.32.32;;04.90.12.32.39;MEFFRE G;;GMDF; ;;SIREN 705 920 130 APE 513 J;
MENJUCQ (ETS);;11000;CARCASSONNE;04 68 25 05 80;04 68 25 20 55;04 68 25 01 46;MENJUCQ;;ETS MENJUCQ; ;;;
MERCADIS;;34070;MONTPELLIER;04.67.92.29.60;;04.67.92.06.13;MERCADIS;;TRANSVINS CHEZ MERCADIS; ;;;
MERTES KG;;54470;BERNKASTEL - KUES;;;;MERTES K;;PETER MERTES KG; ;;;
MIDI VINS;;63100;CLERMONT FERRAND;04.73.24.72.64;;;MIDI VIN;;Midi Vins; ;;;
MITSIU;;33000;BORDEAUX;;;;MITSIU;;S/E MITSIU; ;;;
MOILLARD GRIVOT;T1;21700;NUITS ST GEORGE;;;;;;MOILLARD-GRIVOT; ;;;
MOLIERE;T1;43000;LE PUY;04.71.09.30.72;;04.71.02.70.18;;;Ets Moliere; ;;;
MOMMESSIN;T1;69430;QUINCIE EN BEAUJOLAIS;04.74.69.09.30;;04.74.69.09.75;;;SA Mommessin; ;;;
MONDO DEL VINO;;47100;FORLI;00390543789911;;00390543789999;MONDO VI;;*M.G.M  MONDO DEL VINO  srl; ;;elisa.casadei@mgmmondodelvino.com;
MONDO DEL VINO1;;12040;PRIOCCA;00390173636304;;00390173616715;MONDO VI;;M.G.M  MONDO DEL VINO SRL; ;;gaetane.carron@mondodelvino.com;
MONDONY;;13200;ARLES;04 90 97 00 07;;04 90 97 00 97;;;Madame Régine MICHEL; ;;;
MONIER;T1;63870;ORCINES;04.73.62.12.04;;04.73.62.27.27;;;Vins Monier; ;;;
MONTAUD SUS.;;34160;SUSSARGUES;;;;MONTAUD;;MONTAUC cave coop; ;;;
MONTFRIN;;30490;MONTFRIN;04.66.57.53.63;;04.66.57.55.50;MONTFRIN;;SCA CAVE COOP INTERCOMMUNALE; ;;;
MOREAU;T1;89800;CHABLIS;03.86.42.88.00;03.86.42.88.03;03.86.42.88.08;;;Ets Moreau et Fils; ;;;
MORRISON;;BD3 7DL;BRADFORD;004408456115736;;;MORRISON;;WN MORRISON SUPERMARKETS; ;;;
MOULEZAN;;30350;MOULEZAN;04.66.77.81.02;;;MOULEZAN;;LES COTEAUX DE LA COURME; ;;;
MOURIER;;42410;CHAVANAY;;;;MOURIER;;VINS MICHEL MOURIER; ;;;
MUDAISON CEPAGE DE MEDITERRANE;;34130;MUDAISON;04.67.88.05.38;;04.67.88.02.23;MUDAISON;;CEPAGE DE MEDITERRANEE; ;;cepage.medit@libertysurf.fr;
MYLE;;30620;AUBORD;04.66.71.12.48;06.22.29.46.28;04.66.71.31.24;MARGAROT;;SARL MYLE; ;;;
NUGET NAVEAU;T1;18600;NEUILLY EN DUN;02 48 74 54 41;;02.48.74.69.64;;;Ets Nuget Naveau; ;;;
OCCITANIE;;34600;FAUGERES;;;;OCCITANI;;TERROIRS OCCITANIE; ;;;
OENOALLIANCE;;33750;BEYCHAC ET CAILLAU;05.57.97.39.73;;05.57.97.39.74;OENOALLI;;OENOALLIANCE; ;;SIRET 45620374400044;
OGIER CAVES DES PAPES;;84232;CHATEAUNEUF DU PAPE;04.90.39.32.32;;04.90.83.72.51;OGIER CA;;*OGIER CAVES DES PAPES; ;;;
OGIER SORGUES;;84700;SORGUES;;;;OGIER SO;;OGIER CAVE DES PAPES; ;;;
ORIGIN WINE;;OX16 9UX;BANBURY;01295221340;;;ORIGIN W;;ORIGIN WINE Ldt; ;;;
PAPUT BOISSONS;T1;42300;ROANNE;04.77.68.24.95;;04.77.70.97.81;;;Paput Boissons S.A.S; ;;dpaput@paputboissons.fr;
PARDON;T1;69430;BEAUJEU;04.74.04.86.97;06.77.99.87.79;04.74.69.24.08;;;PARDON ET FILS SARL; ;;;
PARTHIOT;T2;58230;ALLIGNY EN MORVAN;03.86.76.14.63;;03.86.76.14.66;;;Ets Parthiot; ;;cave.parthiot.jp@orange.fr;
PASQUETTO;;;;;;;PASQUETT;;PASQUETTO; ;;;
PASQUIER 1;;67290;PETERSBACH;;;;PASQUIER;;PASQUIER DESVIGNES; ;;;
PASQUIER DESVIGNES;;71570;ROMANECHE THORINS;03.85.35.26.18;06.24.76.26.72;03.85.35.26.17;PASQUIER;;SAS PASQUIER DESVIGNES; ;;sravier@pasquierdesvignes.fr;
PASSERIEUX;;;;;;;PASSERIE;;PASSERIEUX-VERGNES; ;;;
PEGUET;;69400;LIERGUES;04.74.02.56.85;;04.74.02.50.68;PEGUET;;JB VINS S/E MAISON PEGUET; ;;;
PENLOIS;;69220;LANCIE;;;;PENLOIS;;SARL LES VINS DU PENLOIS; ;;;
PERRET;;73170;BILLIEME;04.79.36.83.54;;04.79.36.79.53;PERRET;;PERRET SA; ;;;
PERRIER;T1;73800;LES MARCHES;04.79.28.11.45;;04.79.28.09.91;;;Maison Perrier et Fils; ;;;
PERRIN ET FILS;;84100;ORANGE;04.90.11.12.00;;04.90.11.12.19;PERRIN E;;PERRIN ET FILS SA; ;;;
PERRUFFEL;T1;63220;BEURIERES;04.73.95.03.80;;;;;Ets Perruffel; ;;;
PETER IGEL;;M2J 5B5;TORONTO ON M2J 5B5;0014 164 938 800;;0014 164 933 672;PETER IG;;PETER IGEL; ;;vhanna@peterigel.com;
PETIT ST ANDRE;;30800;ST GILLES;04.66.87.30.27;06.09.33.38.83;;PETIT ST;;EARL ST ANDRE; ;;;
PEYCELON;T1;42330;SAINT GALMIER;04.77.54.12.09;06.07.87.15.39;04.77.54.17.20;;;ETS PEYCELON; ;;;
PEYVEL;T1;43110;AUREC SUR LOIRE;04.77.35.43.01;;0477.35.38.08;;;Sarl Peyvel; ;;;
PHILIPPE BONNET;;;;0618994068;;;PHILIPPE;;PHILIPPE BONNET; ;;;
PIMONT;T1;71960;LA ROCHE VINEUSE;03 85 37 71 05;0610756050;03 85 37 79 25;PIMONT;;ETS PIMONT; ;;contact@vins-pimont.com;
PIOTEYRY;T1;42480;LA FOUILLOUSE;04.77.30.10.26;06.60.70.14.47;04 77 30 20 55;;;Ets Pioteyry; ;;;
POMPIGNAN;;30170;POMPIGNAN;04.66.77.21.85;;04.66.77.02.04;POMPIGNA;;CAVE COOP POMPIGNAN; ;;;
PONTI;;28074;GHEMME  (NO);00390163844111;;;PONTI;;PONTI spa; ;;;
PREAU;T1;34203;SETE CEDEX;04.67.18.60.00;;04.67.18.96.96;PREAU;;PREAU SA; ;;epreau@wanadoo.fr;
PROVENCE A.J.Y;;13630;EYRAGUES;;;;PROVENCE;;PROVENCE A.J.Y; ;;;
PUILACHER;;34230;PUILACHER;04.67.96.72.36;;04.67.88.75.54;PUILACHER;;SCA CLOCHERS ET TERROIRS; ;;;
QUINTY;;63380;POMTAUMUR;04.73.79.90.14;;;QUINTY;;ETS QUINTY; ;;;
QWI FRANCE;;11800;RUSTIQUE;04.68.78.99.52;;09.81.40.73.58;QWI FRAN;;QWI FRANCE; ;;;
QWI1;;11205;LEZIGNAN CORDIERES CEDEX;;;;QWI1;;QWI S/E FR CONDITIONNEMENT; ;;;
RAILH;;24230;TRAVEL;;;;RAILH;;; ;;;
RAOUX PHILIPPE;;33460;ARSAC;05.56.39.71.75;;05.56.39.03.67;RAOUX PH;;ETS PHILIPPE RAOUX SAS; ;;;
RAPHAEL MICHEL;;84420;PIOLENC CEDEX;04.90.34.06.07;;04.90.34.79.85;RAPHAEL;;ETS RAPHAEL MICHEL; ;;www.raphael-miche.com;
REGUSSE;;04860;PIERREVERT;04.92.72.30.44;;04.92.72.69.08;REGUSSE;;SARL CAVE ET VIGNOBLE DE REGUSSE; ;;;
RENE LACLIE;;17400;SAINT JEAN D'ANGELY;+33 (0) 546 262 500;;+33 (0) 546 330 474;RENE LAC;;MAISON RENE LACLIE SAS; ;;;
RHODANIENNE;;30210;CASTILLON DU GARD;;;;RHODANIE;;FROMONT S/E CIE RHODANIENNE; ;;;
RHONE TERROIR;;26790;TULETTE;04.75.96.20.00;;04.75.97.33.41;RHONE TE;;SAS RHONE TERROIR; ;;;
RIBOT;;23130;PEYRAT LA NONIERRE;05 55 62 37 36;;05 55 62 21 67;RIBOT;;ETS RIBOT; ;;;
RICHARDVINS;;55100;VERDUN;03.29.83.40.00;;03.29.83.40.00;RICHARDV;;RICHARDVINS; ;;;
RICHEMER HENRI;;34340;MARSEILLAN;04.67.77.20.16;;04.67.77.62.50;RICHEMER;;LES CAVES HENRI RICHEMER; ;;;
ROBERT VIC;;34450;VIAS;04.67.21.67.82;;04.67.21.76.46;ROBERT V;;LES DOMAINES ROBERT VIC; ;;;
ROBERT VIC 1;;34200;SETE;04.67.74.88.80;06.81.13.11.07;;ROBERT V;;LES DOMAINES ROBERT VIC S/E BIRON SA; ;;SOLANGE;
ROSE;;81600;MONTANS;05.63.57.67.36;;05.63.41.77.74;ROSE;;SARL ROSE; ;;sarl.rose81@orange.fr;
ROUCHON SOUCHON;T1;42150;LA RICAMARIE;04 77 35 00 20;;04 77 81 34 80;ROUCHON;;S.A.S ROUCHON SOUCHON; ;;;
ROUSSEL  ET FILS;;80090;AMIENS;03.22.91.66.62;;;ROUSSEL;;ETS ROUSSEL ET FILS VINS; ;;;
ROUVIER;;30134;PONT ST ESPRIT;0466391221;;;ROUVIER;;ROUVIER ET FILS; ;;;
ROUX;;21190;ST AUBIN;03.80.21.32.92;03.80.21.35.00;;ROUX;;SA ROUX PERE ET FILS; ;;;
ROUX S/E;;21200;BEAUNE;;;;ROUX S/E;;S/E MAG STOKAGE; ;;;
ROZEILHAN;;34290;VALROS;04.67.39.07.39;;04.67.39.08.95;ROZEILHA;;LES VIGNERONS DE ROZEILHAN; ;;;
S.V.B;;84231;CHATEAUNEUF DU PAPE;04 90 33 20 93;;04 90 33 25 73;S.V.B;;SELECTION VINS BOUTEILLES; ;;;
S.V.B/SE TRANSVINS;;84231;CHATEAUNEUF DU PAPE;;;;S.V.B/SE;;SVB/ SE TRANSVINS; ;;;
SAMSON;;41700;CONTRES;02.54.74.21.11;;02.54.74.21.11;SAMSON;;WSF INTERNATIONAL CLAUDE SAMSON; ;;wsf.csamson@orange.fr;
SAS V3T;;34620;PUISSERGUIER;;;;SAS V3T;;SAS V3T; ;;;
SAUTEJEU;;44330;LE PALLET;02.40.06.73.83;;02 40 06 76 49;SAUTEJEU;;Sa MARCEL SAUTEJEU; ;;;
SAUVION;;44194;VALLET CEDEX;02.40.36.22.55;;02.40.36.34.62;SAUVION;;MAISON SAUVION; ;;;
SAVAS;;33300;BORDEAUX;05.56.92.62.96;;05.56.94.64.98;SAVAS;;SAVAS SA; ;;savas@savas-sa.fr;
SAVAS 1;;33390;BLAYE;;;;SAVAS 1;;SAVAS S/E VINISERVICES; ;;;
SDVA ROGER FREDERIC;;11205;LEZIGNAN CORBIERES CEDEX;04.68.27.84.50;;04.68.27.84.51;SDVA ROG;;SDVA VIGNOBLES; ;;;
SELLES;;69220;BELLEVILLE;04.74.06.46.00;;04.74.06.46.09;SELLES;;CASTEL FRERES; ;;;
SHENZEN JIUWEIHANG;;518048;SHENZEN;;;;SHENZEN;;SHENZEN JIUWEIHANG COMMERCIAL; ;;;
SIGNES DE TERRES;;33500;LIBOURNE;06.74.00.96.21;09.52.87.04.41;05.57.25.73.11;SIGNES D;;SIGNES DE TERRES; ;;;
SILBA;;89600;ST FLORENTIN;03.86.35.32.02;;;SILBA;;CAVE DE SILBA; ;;lacavesilba@orange.fr;
SKALLI;T1;34204;SETE CEDEX;04.67.43.03.03;04.67.80.90.90;04.67.80.12.30;SKALLI;;*LES VINS SKALLI; ;;www.skalli.com;
SKALLI 1;;84230;CHATEAUNEUF DU PAPE;;;;SKALLI 1;;LES VINS SKALLI; ;;;
SKALLI AUBIAN;;11590;CUXAC D' AUDE;;;;SKALLI A;;LES VINS SKALLI; ;;;
SKALLI SAUVIAN;;34410;SAUVIAN;04.67.32.13.51;;;SKALLI;;LES VINS SKALLI; ;;;
SLCB;T1;71800;LA CLAYETTE;03.85.28.92.24;;03.85.28.28.97;;;COMPAGNIE VINICOLE DE BOURGOGNE (C.V.B.); ;;;
SO WINES DISTRIBUTION;;34530;MONTAGNAC;06.73.55.06.09;;;SO WINES;;SO WINES DISTRIBUTION; ;;;
SO WINES DISTRIBUTION 2;;34800;ASPIRAN;;;;SO WINES;;SO WINES DISTRIBUTION; ;;;
SOBEMAB;;71000;CHANES;03.85.36.58.00;;;SOBEMAB;;ETS BADET/ SE SOBEMAB; ;;;
SOGIM;;97861;SAINT PAUL REUNION;02.62.45.45.15;;02.62.22.63.02;SOGIM;;SOGIM SAS; ;;;
SOLEYRADE;;84830;SERIGNAN DU COMTAT;04.90.70.07.79;;;SOLEYRAD;;DOMAINE SOLEYRADE; ;;;
SOMMIERES COOP;;30250;SOMMIERES;04.66.80.03.31;;04.66.80.01.23;SOMMIERE;;LES VIGNERONS DU SOMMIEROIS; ;;;
SORGUES;;84700;SORGUES;04.90.39.78.05;;;SORGUES;;LES VINS SKALLI; ;;patricia.toye@skalli.com;
SOUBERGUES;;34230;SAINT PARGOIRE;04.67.98.70.15;;04.67.98.78.33;SOUBERGU;;LES VIGNERONS DES SOUBERGUES; ;;;
ST ARNOULT;;62503;ST OMER;03.21.38.68.68;;03.21.38.68.77;ST ARNOU;;LES CAVES ST ARNOULT; ;;;
ST AURIOL;;11200;LEZIGNAN CORBIERES;;;;ST AURIO;;ST AURIOL SA; ;;;
ST CHINIAN;;34360;ST CHINIAN;04.67.38.28.40;;04.67.38.28.49;ST CHINI;;EURL LES VIGNERONS DE ST CHINIAN; ;;;
ST GENIES;;34160;ST GENIES DES MOURGUES;04 67 86 21 99;;;;;CAVE COOPERATIVE; ;;;
ST GENIES DE MALGOIRES;;30190;ST GENIES DE MALGOIRES;04.66.81.62.01;;04.66.81.63.21;ST GENIE;;LES VIGNERONS DU MALGOIRES; ;;;
ST GERVAIS;;30200;ST GERVAIS;04.66.82.77.05;;;ST GERVA;;Cave cooperative; ;;;
ST MARTIN DE LONDRES;;34380;ST MARTIN DE LONDRES;;;;ST MARTI;;CAVE COOP DE ST MARTIN DE LONDRES; ;;;
ST MATHIEU DE TREVIERS;;34270;ST MATHIEU DE TREVIERS;;;;ST MATHI;;LES COTEAUX DU PIC; ;;;
ST VICTOR;;30290;ST VICTOR DE LA COSTE;;;;ST VICTO;;SCA VICTOR CONTIS; ;;;
